block,blockHash,timestamp,chainlink,aave,eth1,eth10,eth100,weth1,weth10,weth100
23550116,0xbe6c6b36690b9e974648ba3612b7719549995c3969711dca55a4576e94e1d4e1,2025-10-10T21:49:47Z,3824.787040103116,3834.113897217694,3662.203164,3654.8924243,3636.76238654,3768.92337,3757.3689588,3661.37573292
23550119,0x6cc9fb4df9a4f4978a4c5efe051a39af4a8b0ffc4664ada6a8b97cb68eb509b5,2025-10-10T21:50:23Z,3824.787040103116,3834.113897217694,3739.855686,3684.2958192,3659.44196311,3790.890801,3774.3261782,3686.66925406
23550122,0x3969ed5794b2cbc55b504e565f7bca47a23ebf07379f2e83851817d7550512b5,2025-10-10T21:50:59Z,3845.3738092294493,3834.113897217694,3806.090413,3801.5547059,3784.14287483,3758.264061,3714.8797927,3692.02080365
23550125,0xee9a08c90037e4ef0fe3584cc2fb5a4ac4f87b35a74cac9db74c9499433fedca,2025-10-10T21:51:35Z,3845.3738092294493,3834.113897217694,3859.337833,3857.5929337,3840.23548051,3778.67237,3768.8640353,3743.46007388
23550128,0xd606b030c57b2285e1988625b406f0ec1f58932bb777cdd307a5124a978afbea,2025-10-10T21:52:11Z,3873.9599545200253,3834.113897217694,3767.397871,3763.109708,3741.81974247,3819.907035,3786.5074401,3758.90587752
23550131,0x6051105bba976b7733dd1dcd37f1074e3f18700459dc6ad5e35d9cf1be2e4af1,2025-10-10T21:52:47Z,3916.3722508799674,3894.1682994467656,3759.355076,3755.0806319,3738.62626266,3831.294925,3820.6412167,3765.7555368
23550134,0x20116e8607f592acdb1b10223f6ee63e4a85a3e452638673883ece2a965386d5,2025-10-10T21:53:23Z,3916.3722508799674,3894.1682994467656,3786.92778,3783.5734597,3767.90212893,3862.109816,3855.5213999,3803.27049482
23550137,0x6f46a7caaaec9d19b5c84716afb74e645a9e648cc1088fb49bef444ec857fc68,2025-10-10T21:53:59Z,3916.3722508799674,3894.1682994467656,3809.117536,3800.6800852,3759.78653255,3797.149967,3787.1393838,3766.93207278
23550140,0x3cf55d429f0c1213b08195040c0e5463b4761ae984857187eab96242626a8786,2025-10-10T21:54:35Z,3916.3722508799674,3925.415130506833,3810.10472,3807.1181012,3788.63235319,3842.838278,3836.4276266,3827.28025898
23550143,0x386a4605b1a0ef2f61332e89c89ea978b3d1bf28366ec1818eec8e85d22f3f6f,2025-10-10T21:55:11Z,3916.3722508799674,3900.3575903791807,3810.10472,3807.1181012,3788.63235346,3825.590281,3818.0973786,3808.37507066
